model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.8888888888888888,0.9285714285714286,0.8,1.0,0.6666666666666666
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,0.875,1.0,0.6666666666666666,1.0,0.5
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,0.8888888888888888,1.0,0.8,1.0,0.6666666666666666
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,0.875,1.0,0.6666666666666666,1.0,0.5
EEG_Only,10,0.8888888888888888,1.0,0.8,1.0,0.6666666666666666
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.8888888888888888,0.8571428571428572,0.8,1.0,0.6666666666666666
ECG_Only,1,0.7777777777777778,0.8571428571428571,0.5,0.5,0.5
ECG_Only,2,0.875,1.0,0.6666666666666666,1.0,0.5
ECG_Only,3,0.875,0.8571428571428572,0.6666666666666666,1.0,0.5
ECG_Only,4,0.875,0.8571428571428572,0.6666666666666666,1.0,0.5
ECG_Only,5,0.7777777777777778,0.8571428571428572,0.6666666666666666,1.0,0.5
ECG_Only,6,0.6666666666666666,0.7857142857142857,0.4,0.5,0.3333333333333333
ECG_Only,7,0.875,1.0,0.0,0.0,0.0
ECG_Only,8,1.0,1.0,1.0,1.0,1.0
ECG_Only,9,0.625,0.7142857142857143,0.4,1.0,0.25
ECG_Only,10,0.7777777777777778,0.7857142857142857,0.6666666666666666,1.0,0.5
ECG_Only,11,0.7777777777777778,0.8571428571428572,0.5,0.5,0.5
ECG_Only,12,0.75,0.8571428571428572,0.5,1.0,0.3333333333333333
ECG_Only,13,1.0,1.0,1.0,1.0,1.0
ECG_Only,14,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,0,0.8888888888888888,1.0,0.8,1.0,0.6666666666666666
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,3,0.875,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,0.8888888888888888,1.0,0.8,1.0,0.6666666666666666
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,0.875,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,10,0.8888888888888888,1.0,0.8,1.0,0.6666666666666666
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
