model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.8333333333333334,0.85,0.0,0.0,0.0
EEG_Only,1,0.9166666666666666,0.9500000000000001,0.8,1.0,0.6666666666666666
EEG_Only,2,0.8181818181818182,0.30000000000000004,0.0,0.0,0.0
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,0.8333333333333334,0.8,0.0,0.0,0.0
EEG_Only,6,0.75,1.0,0.5714285714285714,1.0,0.4
EEG_Only,7,0.9090909090909091,0.19999999999999996,0.0,0.0,0.0
EEG_Only,8,0.9090909090909091,0.9,0.6666666666666666,1.0,0.5
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,1.0,1.0,1.0,1.0,1.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,0.8181818181818182,0.30000000000000004,0.0,0.0,0.0
EEG_Only,13,0.9090909090909091,1.0,0.6666666666666666,1.0,0.5
EEG_Only,14,0.7272727272727273,0.8,0.0,0.0,0.0
ECG_Only,0,0.8333333333333334,1.0,0.0,0.0,0.0
ECG_Only,1,0.75,0.8,0.4,0.5,0.3333333333333333
ECG_Only,2,1.0,1.0,1.0,1.0,1.0
ECG_Only,3,0.8181818181818182,0.6,0.0,0.0,0.0
ECG_Only,4,0.8181818181818182,0.9,0.5,1.0,0.3333333333333333
ECG_Only,5,0.75,0.7999999999999999,0.4,0.5,0.3333333333333333
ECG_Only,6,0.8333333333333334,0.85,0.0,0.0,0.0
ECG_Only,7,0.9090909090909091,1.0,0.6666666666666666,1.0,0.5
ECG_Only,8,0.9090909090909091,1.0,0.0,0.0,0.0
ECG_Only,9,1.0,1.0,1.0,1.0,1.0
ECG_Only,10,0.75,0.8,0.4,0.5,0.3333333333333333
ECG_Only,11,0.8333333333333334,0.8,0.6666666666666666,1.0,0.5
ECG_Only,12,1.0,1.0,1.0,1.0,1.0
ECG_Only,13,0.9090909090909091,0.6,0.0,0.0,0.0
ECG_Only,14,0.9090909090909091,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,0,0.8333333333333334,1.0,0.0,0.0,0.0
Fused_EEG_ECG,1,0.9166666666666666,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,2,0.8181818181818182,0.9,0.0,0.0,0.0
Fused_EEG_ECG,3,0.9090909090909091,0.8,0.0,0.0,0.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,0.8333333333333334,0.8500000000000001,0.0,0.0,0.0
Fused_EEG_ECG,6,0.8333333333333334,0.9500000000000001,0.5,0.5,0.5
Fused_EEG_ECG,7,0.9090909090909091,0.7,0.0,0.0,0.0
Fused_EEG_ECG,8,0.9090909090909091,0.9,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,0.9166666666666666,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,0.8181818181818182,0.5,0.0,0.0,0.0
Fused_EEG_ECG,13,0.9090909090909091,1.0,0.0,0.0,0.0
Fused_EEG_ECG,14,0.9090909090909091,1.0,0.6666666666666666,1.0,0.5
